# law_id	module	enforcement	authority	law
STD-01-015	01-namespace-and-progressive-disclosure.md	not_yet_enforced_with_reason	reason: generated-doc generators are not fully inventoried; next candidate is generated-doc index metadata and freshness checks	Generated docs must be regenerated through their generator unless their contract explicitly allows manual edits.
STD-01-016	01-namespace-and-progressive-disclosure.md	not_yet_enforced_with_reason	reason: owed-update destinations are multiple semantic surfaces; next candidate is Rust validation for stale-doc backlog rows	Record owed updates in `VERIFICATION_BACKLOG.json`, the active ExecPlan, `agent-standards/enforcement.*`, or the final claim ceiling.
STD-02-018	02-boundaries-validation-and-enforcement.md	reviewer_judgment	final-report	Every behavior change needs executable evidence.
STD-02-019	02-boundaries-validation-and-enforcement.md	rust_test	coverage::validate_coverage_policy	Coverage claims require a coverage receipt naming command, tool, measured dimensions, percentage, floor, uncovered records, exclusions, timestamp, and claim ceiling.
STD-02-020	02-boundaries-validation-and-enforcement.md	rust_test	coverage::validate_coverage_policy	Test pass counts, smoke tests, fixtures, mocks, and reviewer signoff are not coverage proof.
STD-02-021	02-boundaries-validation-and-enforcement.md	rust_test	coverage::validate_coverage_policy	Lower-than-100 coverage cannot support ready, complete, production-ready, or release claims unless the claim ceiling explicitly withholds that claim.
STD-02-022	02-boundaries-validation-and-enforcement.md	rust_test	coverage::validate_coverage_policy	Generated, vendor, and external exclusions require rationale and must not be counted as covered.
STD-02-023	02-boundaries-validation-and-enforcement.md	deterministic_gate	scripts/check-coverage-fast and scripts/check-coverage-full	Coverage scope authority belongs to `.harness/coverage-manifest.json`, changed-file coupling, source-scope validation, receipt freshness, and the fast/full coverage gate split; agents must not narrow coverage scope in prose.
STD-02-001	02-boundaries-validation-and-enforcement.md	runtime_receipt	packet/review artifacts	Record & Replay events are observed UI/action evidence.
STD-02-002	02-boundaries-validation-and-enforcement.md	runtime_receipt	packet/review artifacts	Microphone transcript text is Tree's spoken context and is not proof that an action happened.
STD-02-003	02-boundaries-validation-and-enforcement.md	runtime_receipt	final-transcript-alignment	Timestamp-window alignment is inferred unless the UI event directly proves the spoken claim.
STD-02-004	02-boundaries-validation-and-enforcement.md	runtime_receipt	evidence-boundary-report	Conflict policy: preserve observed UI order from Record & Replay, use transcript to clarify intent, and mark unresolved conflicts explicitly.
STD-02-005	02-boundaries-validation-and-enforcement.md	runtime_receipt	audio-chunks/narration-sync	Every capture must preserve enough clock anchors to align audio and UI events by monotonic or Unix time.
STD-02-006	02-boundaries-validation-and-enforcement.md	reviewer_judgment	review-team	Do not mix clock domains without a documented conversion and drift assumption.
STD-02-007	02-boundaries-validation-and-enforcement.md	runtime_receipt	temporal-context/final-alignment	Alignment windows, confidence labels, and clock-source assumptions must be visible in generated artifacts.
STD-02-008	02-boundaries-validation-and-enforcement.md	rust_test	replay-voice-preview	Future replay-time voice parameters must bind to a typed timeline contract before they affect playback behavior.
STD-02-009	02-boundaries-validation-and-enforcement.md	rust_test	config/parsing/tests	CLI args, environment variables, transcript events, Record & Replay events, metadata files, model output, and tool output are untrusted until parsed.
STD-02-010	02-boundaries-validation-and-enforcement.md	rust_test	typed module tests	Preserve parsed knowledge in typed structures or explicit schemas.
STD-02-011	02-boundaries-validation-and-enforcement.md	rust_test	safe_path/bundle/artifact tests	Reject malformed paths and missing required fields with actionable errors.
STD-02-012	02-boundaries-validation-and-enforcement.md	reviewer_judgment	review-team	Do not build follow-on behavior from guessed event shapes.
STD-02-013	02-boundaries-validation-and-enforcement.md	reviewer_judgment	review-team; partial gate: scripts/check-agent-standards	Repeated review comments become scripts, tests, fixtures, schemas, validators, or tracked blockers.
STD-02-014	02-boundaries-validation-and-enforcement.md	deterministic_gate	scripts/check	The live implementation and validation gate are Rust-first. Do not add Python helpers, Python gate steps, or Python-only tests to close current claims.
STD-02-015	02-boundaries-validation-and-enforcement.md	reviewer_judgment	review-team	Checks must prove their own surface. CLI tests do not prove live UI recording.
STD-02-016	02-boundaries-validation-and-enforcement.md	reviewer_judgment	review-team	Fixture packets do not prove live microphone or model behavior.
STD-02-017	02-boundaries-validation-and-enforcement.md	deterministic_gate	scripts/audit-private-run-permissions	The validation gate must audit local-private run artifact permissions without reading raw transcript or audio content.
STD-03-011	03-execplans-worktrees-and-orchestration.md	deterministic_gate	scripts/check-agent-standards	`PLANS.md` is stable ExecPlan law, not project status, worker state, backlog, receipt state, or completion evidence.
STD-03-001	03-execplans-worktrees-and-orchestration.md	deterministic_gate	bundle-validator	Long-running work uses `EXECPLAN.md` as the restartable plan and worklog.
STD-03-002	03-execplans-worktrees-and-orchestration.md	reviewer_judgment	review-team	Progress entries name date, files touched, evidence gathered, surprises, blockers, and next action.
STD-03-003	03-execplans-worktrees-and-orchestration.md	reviewer_judgment	review-team	TODO rows stay concrete enough for a future agent to execute without chat history.
STD-03-004	03-execplans-worktrees-and-orchestration.md	reviewer_judgment	review-team; partial gate: bundle-digest-chain	Stale plan claims must be corrected in the file, not patched over in chat.
STD-03-005	03-execplans-worktrees-and-orchestration.md	deterministic_gate	.codex/environments/environment.toml	Codex App-created worktrees must keep scratch, temp, Cargo target, and generated state under `.codex-worktree/`.
STD-03-006	03-execplans-worktrees-and-orchestration.md	runtime_receipt	.codex-worktree/env.sh	Source `.codex-worktree/env.sh` before validation when working in a Codex App worktree.
STD-03-007	03-execplans-worktrees-and-orchestration.md	deterministic_gate	harness-target-repo-audit	Do not hardcode a worktree path into environment setup.
STD-03-008	03-execplans-worktrees-and-orchestration.md	reviewer_judgment	review-team	Substantial work is organized around deliverables, proof, owners, and restartable state, not chat sessions.
STD-03-009	03-execplans-worktrees-and-orchestration.md	reviewer_judgment	review-team	Parent sessions own dependency order, claim ceilings, package sync, and final proof reconciliation.
STD-03-010	03-execplans-worktrees-and-orchestration.md	reviewer_judgment	review-team	Lane completion is not root completion; root claims need current root proof, clean package state, and review disposition.
STD-04-001	04-security-reliability-and-product-cohesion.md	reviewer_judgment	review-team; partial package gate: scripts/check-package-hygiene	Raw audio, raw transcripts, private workflow details, secrets, credentials, and broad logs are local-private by default.
STD-04-002	04-security-reliability-and-product-cohesion.md	reviewer_judgment	review-team	Durable outputs must be distilled, redacted, and scoped to what future agents need.
STD-04-003	04-security-reliability-and-product-cohesion.md	reviewer_judgment	review-team; partial package gate: scripts/check-package-hygiene	Do not write private transcripts to memory, wiki, shared docs, Slack, email, git, or examples unless Tree explicitly asks and the content is privacy-safe.
STD-04-004	04-security-reliability-and-product-cohesion.md	rust_test	fixture privacy tests	Fixtures must use synthetic or redacted content.
STD-04-005	04-security-reliability-and-product-cohesion.md	reviewer_judgment	review-team	Default setup validation can avoid audio and network calls, but feature completion cannot.
STD-04-006	04-security-reliability-and-product-cohesion.md	runtime_receipt	live-dogfood receipt	A recorder feature claim needs live Record & Replay plus narration evidence on a real workflow.
STD-04-007	04-security-reliability-and-product-cohesion.md	runtime_receipt	review-ui proof	A review UI claim needs UI evidence, product-cohesion inspection, and recovery/error-state proof.
STD-04-008	04-security-reliability-and-product-cohesion.md	reviewer_judgment	operator packet review	An evidence compiler claim needs generated artifacts inspected for usefulness, not just command success.
STD-04-009	04-security-reliability-and-product-cohesion.md	deterministic_gate	scripts/check-skill-contracts	Direct narrated plugin invocation starts capture first. Infer target surface and output from replay plus transcript before asking follow-up questions.
STD-04-010	04-security-reliability-and-product-cohesion.md	rust_test	config default tests	The default bounded capture length is 30 minutes unless the user supplied a duration.
STD-04-011	04-security-reliability-and-product-cohesion.md	runtime_receipt	parent-operation receipt	Automatic microphone capture starts with Record & Replay. Do not make the user start one surface and then the other for normal dogfood.
STD-04-012	04-security-reliability-and-product-cohesion.md	rust_test	audio_input tests	`auto` microphone input must avoid iPhone and virtual devices. Prefer current non-iPhone macOS default, then AirPods, then MacBook microphone.
STD-04-013	04-security-reliability-and-product-cohesion.md	deterministic_gate	scripts/check-product-fitness	Product-impacting success, readiness, release, daily-driver, or material product signoff claims require Product Fitness proof separate from Product Cohesion.
STD-04-014	04-security-reliability-and-product-cohesion.md	deterministic_gate	scripts/check-product-fitness	Product Fitness proof must bind audience, job, context, outcome, quality-in-use, accessibility, cognitive-load, recovery, continuance when claimed, and claim ceiling.
STD-04-015	04-security-reliability-and-product-cohesion.md	deterministic_gate	scripts/check-product-fitness	Reviewer agreement, install success, smoke tests, test pass counts, fixture pass counts, package publication, first use, feature delivery, and Product Cohesion receipts alone do not prove product success.
STD-05-001	05-review-and-completion.md	deterministic_gate	bundle-validator	Positive claims must map to claim ids in `GOAL_CONTRACT.md`.
STD-05-002	05-review-and-completion.md	reviewer_judgment	review-team	Missing proof lowers the claim ceiling; it does not become a note.
STD-05-003	05-review-and-completion.md	reviewer_judgment	review-team	Material review should falsify first: proof substitution, stale receipts, missing redaction, missing runtime proof, clock ambiguity, and human-attention overuse are blockers.
STD-05-004	05-review-and-completion.md	reviewer_judgment	review-team	Material review uses the current harness four-persona team: Contract and Claim Falsifier, Orchestration and Recovery Falsifier, Security Trust-Boundary Falsifier, and Product and Simplicity Falsifier.
STD-05-005	05-review-and-completion.md	reviewer_judgment	review-team	A single material review-team sign-off round is required for this lane: all four personas, fresh context, full scope, `gpt-5.5`, `high` reasoning, and same-round `SIGN_OFF` verdicts.
STD-05-006	05-review-and-completion.md	reviewer_judgment	review-team	Do not run extra model tiers or extra review rounds unless a reviewer finds a concrete blocker that requires repair and re-review.
STD-05-007	05-review-and-completion.md	reviewer_judgment	final-report	Verification: exact command, artifact, receipt, runtime proof, or explicit gap.
STD-05-008	05-review-and-completion.md	reviewer_judgment	final-report	Security: privacy and secret risks reviewed, or `N/A`.
STD-05-009	05-review-and-completion.md	reviewer_judgment	final-report	Performance: latency, concurrency, file size, model-call, or runtime cost review, or `N/A`.
STD-05-010	05-review-and-completion.md	reviewer_judgment	final-report	Quality: tests, evals, runtime checks, review disposition, and residual gaps.
STD-05-015	05-review-and-completion.md	reviewer_judgment	final-report; partial: coverage::validate_coverage_policy	Coverage: receipt path and claim ceiling, or explicit withheld coverage blocker. Do not present test pass counts as coverage.
STD-05-011	05-review-and-completion.md	reviewer_judgment	final-report	Claim ceiling: what is supported, what is unsupported, and what remains blocked.
STD-05-012	05-review-and-completion.md	deterministic_gate	scripts/check-package-sync	Source, installed plugin, and marketplace cache must be synced before claiming app-visible behavior changed.
STD-05-013	05-review-and-completion.md	reviewer_judgment	review-team	Bump plugin version when app-visible skill behavior or helper behavior changes.
STD-05-014	05-review-and-completion.md	package_hygiene	scripts/check-package-hygiene	Run package hygiene on installed and cache roots.
STD-06-001	06-standards-gardening.md	reviewer_judgment	review-team	Act immediately on recurring or severe misses: false completion, wrong review team/model/reasoning, unsafe orchestration, broken worktree initialization, product cohesion misses, trust-boundary gaps, oversized files, stale allowlists, and plugin-flow confusion that forced user micromanagement.
STD-06-002	06-standards-gardening.md	reviewer_judgment	review-team	Prefer the smallest durable fix: validator, schema, fixture, skill update, persona prompt update, standards module, plugin resource-map update, hook, or backlog row.
STD-06-003	06-standards-gardening.md	reviewer_judgment	review-team	Remove purposeless files instead of creating in-repo archives.
STD-06-004	06-standards-gardening.md	deterministic_gate	scripts/check-agent-standards	If a recurring issue creates durable law, update `agent-standards/enforcement.json`, `agent-standards/enforcement.tsv`, and `agent-standards/enforcement-audit.tsv` in the same change.
